HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Northern Ireland,1958,4,0,4
Soviet Union,Yugoslavia,1962,2,0,2
Yugoslavia,Uruguay,1962,3,1,4
Soviet Union,Colombia,1962,4,4,8
Soviet Union,Uruguay,1962,2,1,3
Yugoslavia,Colombia,1962,5,0,5
Chile,Switzerland,1962,3,1,4
West Germany,Chile,1962,2,0,2
Chile,Italy,1962,2,0,2
West Germany,Switzerland,1962,2,1,3
Italy,Switzerland,1962,3,0,3
Brazil,Mexico,1962,2,0,2
Uruguay,Colombia,1962,2,1,3
West Germany,Italy,1962,0,0,0
Spain,Mexico,1962,1,0,1
Brazil,Czechoslovakia,1962,0,0,0
Czechoslovakia,Spain,1962,1,0,1
Brazil,Spain,1962,2,1,3
Argentina,Bulgaria,1962,1,0,1
Hungary,England,1962,2,1,3
England,Argentina,1962,3,1,4
Hungary,Bulgaria,1962,6,1,7
Hungary,Argentina,1962,0,0,0
England,Bulgaria,1962,0,0,0
Yugoslavia,West Germany,1962,1,0,1
Chile,Yugoslavia,1962,1,0,1
Brazil,England,1962,3,1,4
Czechoslovakia,Yugoslavia,1962,3,1,4
Brazil,Chile,1962,4,2,6
Mexico,Czechoslovakia,1962,3,1,4
Brazil,Czechoslovakia,1962,3,1,4
Chile,Soviet Union,1962,2,1,3
Czechoslovakia,Hungary,1962,1,0,1
Portugal,Hungary,1966,3,1,4
Hungary,Brazil,1966,3,1,4
England,Uruguay,1966,0,0,0
France,Mexico,1966,1,1,2
Uruguay,France,1966,2,1,3
Mexico,Uruguay,1966,0,0,0
England,France,1966,2,0,2
Spain,Switzerland,1966,2,1,3
Argentina,Spain,1966,2,1,3
Argentina,West Germany,1966,0,0,0
Argentina,Switzerland,1966,2,0,2
West Germany,Spain,1966,2,1,3
Brazil,Bulgaria,1966,2,0,2
Portugal,Bulgaria,1966,3,0,3
England,Mexico,1966,2,0,2
West Germany,Switzerland,1966,5,0,5
England,West Germany,1966,4,2,6
Portugal,Brazil,1966,3,1,4
England,Argentina,1966,1,0,1
Hungary,Bulgaria,1966,3,1,4
Soviet Union,North Korea,1966,3,0,3
Italy,Chile,1966,2,0,2
Soviet Union,Italy,1966,1,0,1
North Korea,Italy,1966,1,0,1
Chile,North Korea,1966,1,1,2
Soviet Union,Hungary,1966,2,1,3
West Germany,Uruguay,1966,4,0,4
Portugal,North Korea,1966,5,3,8
West Germany,Soviet Union,1966,2,1,3
England,Portugal,1966,2,1,3
Portugal,Soviet Union,1966,2,1,3
Soviet Union,Chile,1966,2,1,3
Italy,Sweden,1970,1,0,1
Soviet Union,Belgium,1970,4,1,5
Mexico,El Salvador,1970,4,0,4
Mexico,Belgium,1970,1,0,1
Uruguay,Israel,1970,2,0,2
Soviet Union,El Salvador,1970,2,0,2
Belgium,El Salvador,1970,3,0,3
Sweden,Uruguay,1970,1,0,1
Italy,Israel,1970,0,0,0
England,Romania,1970,1,0,1
Brazil,Czechoslovakia,1970,4,1,5
Brazil,England,1970,1,0,1
Uruguay,Italy,1970,0,0,0
Sweden,Israel,1970,1,1,2
Romania,Czechoslovakia,1970,2,1,3
Mexico,Soviet Union,1970,0,0,0
Brazil,Romania,1970,3,2,5
Bulgaria,Morocco,1970,1,1,2
West Germany,Morocco,1970,2,1,3
Peru,Morocco,1970,3,0,3
West Germany,Bulgaria,1970,5,2,7
Soviet Union,Uruguay,1970,0,1,1
Peru,Bulgaria,1970,3,2,5
Brazil,Peru,1970,4,2,6
West Germany,Peru,1970,3,1,4
Uruguay,Brazil,1970,1,3,4
Italy,West Germany,1970,4,3,7
Uruguay,West Germany,1970,0,1,1
Brazil,Italy,1970,4,1,5
Italy,Mexico,1970,4,1,5
England,Czechoslovakia,1970,1,0,1
West Germany,England,1970,3,2,5
Yugoslavia,Zaire,1974,9,0,9
Australia,West Germany,1974,0,3,3
Chile,East Germany,1974,1,1,2
Australia,Chile,1974,0,0,0
East Germany,West Germany,1974,1,0,1
Brazil,Yugoslavia,1974,0,0,0
Zaire,Scotland,1974,0,2,2
West Germany,Chile,1974,1,0,1
Scotland,Brazil,1974,0,0,0
Zaire,Brazil,1974,0,3,3
Uruguay,Netherlands,1974,0,2,2
Sweden,Bulgaria,1974,0,0,0
Bulgaria,Uruguay,1974,1,1,2
Netherlands,Sweden,1974,0,0,0
Bulgaria,Netherlands,1974,1,4,5
East Germany,Australia,1974,2,0,2
Scotland,Yugoslavia,1974,1,1,2
Sweden,Uruguay,1974,3,0,3
Italy,Haiti,1974,3,1,4
Poland,Argentina,1974,3,2,5
Argentina,Italy,1974,1,1,2
Argentina,Haiti,1974,4,1,5
Poland,Italy,1974,2,1,3
Netherlands,Argentina,1974,4,0,4
Brazil,East Germany,1974,1,0,1
Argentina,Brazil,1974,1,2,3
East Germany,Netherlands,1974,0,2,2
Netherlands,Brazil,1974,2,0,2
Netherlands,West Germany,1974,1,2,3
Argentina,East Germany,1974,1,1,2
Poland,Yugoslavia,1974,2,1,3
West Germany,Sweden,1974,4,2,6
Poland,West Germany,1974,0,1,1
Sweden,Yugoslavia,1974,2,1,3
Brazil,Poland,1974,0,1,1
Haiti,Poland,1974,0,7,7
Yugoslavia,West Germany,1974,0,2,2
Sweden,Poland,1974,0,1,1
Peru,Scotland,1978,3,1,4
Italy,France,1978,2,1,3
Argentina,Hungary,1978,2,1,3
Italy,Hungary,1978,3,1,4
Argentina,Italy,1978,0,1,1
West Germany,Poland,1978,0,0,0
Tunisia,Mexico,1978,3,1,4
West Germany,Mexico,1978,6,0,6
Austria,Spain,1978,2,1,3
West Germany,Tunisia,1978,0,0,0
Poland,Mexico,1978,3,1,4
Brazil,Sweden,1978,1,1,2
Austria,Sweden,1978,1,0,1
Brazil,Spain,1978,0,0,0
Poland,Tunisia,1978,1,0,1
Spain,Sweden,1978,1,0,1
Brazil,Austria,1978,1,0,1
Argentina,France,1978,2,1,3
France,Hungary,1978,3,1,4
Italy,West Germany,1978,0,0,0
Italy,Netherlands,1978,1,2,3
Netherlands,Iran,1978,3,0,3
Netherlands,Peru,1978,0,0,0
Peru,Iran,1978,4,1,5
Scotland,Netherlands,1978,3,2,5
Netherlands,West Germany,1978,2,2,4
Italy,Austria,1978,1,0,1
Austria,West Germany,1978,3,2,5
Peru,Poland,1978,0,1,1
Austria,Netherlands,1978,1,5,6
Argentina,Poland,1978,2,0,2
Argentina,Brazil,1978,0,0,0
Brazil,Poland,1978,3,1,4
Argentina,Peru,1978,6,0,6
Brazil,Italy,1978,2,1,3
Argentina,Netherlands,1978,3,1,4
Brazil,Peru,1978,3,0,3
Scotland,Iran,1978,1,1,2
West Germany,Chile,1982,4,1,5
Chile,Austria,1982,0,1,1
West Germany,Algeria,1982,1,2,3
Italy,Cameroon,1982,1,1,2
West Germany,Austria,1982,1,0,1
Italy,Peru,1982,1,1,2
Poland,Cameroon,1982,0,0,0
Peru,Cameroon,1982,0,0,0
Algeria,Austria,1982,0,2,2
Italy,Poland,1982,0,0,0
Poland,Peru,1982,5,1,6
Algeria,Chile,1982,3,2,5
England,Czechoslovakia,1982,2,0,2
Argentina,Belgium,1982,0,1,1
Hungary,El Salvador,1982,10,1,11
Argentina,Hungary,1982,4,1,5
Belgium,El Salvador,1982,1,0,1
Belgium,Hungary,1982,1,1,2
Argentina,El Salvador,1982,2,0,2
Czechoslovakia,Kuwait,1982,1,1,2
France,Kuwait,1982,4,1,5
France,Czechoslovakia,1982,1,1,2
England,Kuwait,1982,1,0,1
Spain,Honduras,1982,1,1,2
Yugoslavia,Northern Ireland,1982,0,0,0
England,France,1982,3,1,4
Austria,France,1982,0,1,1
West Germany,England,1982,0,0,0
Poland,Belgium,1982,3,0,3
Brazil,New Zealand,1982,4,0,4
Soviet Union,Scotland,1982,2,2,4
Soviet Union,New Zealand,1982,3,0,3
Italy,West Germany,1982,3,1,4
Brazil,Soviet Union,1982,2,1,3
Scotland,New Zealand,1982,5,2,7
Spain,Northern Ireland,1982,0,1,1
Belgium,Soviet Union,1982,0,1,1
Honduras,Yugoslavia,1982,0,1,1
Brazil,Scotland,1982,4,1,5
Spain,Yugoslavia,1982,2,1,3
France,Northern Ireland,1982,4,1,5
West Germany,Spain,1982,2,1,3
Spain,England,1982,0,0,0
Italy,Argentina,1982,2,1,3
Argentina,Brazil,1982,1,3,4
Italy,Brazil,1982,3,2,5
Austria,Northern Ireland,1982,2,2,4
Poland,Italy,1982,0,2,2
West Germany,France,1982,3,3,6
Poland,France,1982,3,2,5
Honduras,Northern Ireland,1982,1,1,2
Soviet Union,Poland,1982,0,0,0
Mexico,Paraguay,1986,1,1,2
Paraguay,Iraq,1986,1,0,1
Argentina,Bulgaria,1986,2,0,2
South Korea,Italy,1986,2,3,5
Algeria,Spain,1986,0,3,3
Italy,Argentina,1986,1,1,2
Argentina,South Korea,1986,3,1,4
Bulgaria,Italy,1986,1,1,2
Uruguay,West Germany,1986,1,1,2
Iraq,Belgium,1986,1,2,3
South Korea,Bulgaria,1986,1,1,2
Paraguay,Belgium,1986,2,2,4
Algeria,Northern Ireland,1986,1,1,2
Canada,France,1986,0,1,1
Iraq,Mexico,1986,0,1,1
Northern Ireland,Spain,1986,1,2,3
Brazil,Algeria,1986,1,0,1
Spain,Brazil,1986,0,1,1
Northern Ireland,Brazil,1986,0,3,3
Hungary,France,1986,0,3,3
Hungary,Canada,1986,2,0,2
France,Soviet Union,1986,1,1,2
Scotland,Denmark,1986,0,1,1
Soviet Union,Canada,1986,2,0,2
Belgium,Mexico,1986,1,2,3
Soviet Union,Hungary,1986,6,0,6
Belgium,France,1986,2,4,6
Argentina,West Germany,1986,3,2,5
Argentina,Uruguay,1986,1,0,1
Mexico,Bulgaria,1986,2,0,2
Portugal,Morocco,1986,1,3,4
England,Poland,1986,3,0,3
Poland,Portugal,1986,1,0,1
Denmark,Uruguay,1986,6,1,7
Portugal,England,1986,1,0,1
Scotland,Uruguay,1986,0,0,0
Denmark,West Germany,1986,2,0,2
Soviet Union,Belgium,1986,3,4,7
England,Morocco,1986,0,0,0
Morocco,Poland,1986,0,0,0
Brazil,France,1986,1,1,2
Brazil,Poland,1986,4,0,4
Argentina,Belgium,1986,2,0,2
France,West Germany,1986,0,2,2
Spain,Belgium,1986,1,1,2
Argentina,England,1986,2,1,3
West Germany,Scotland,1986,2,1,3
Denmark,Spain,1986,1,5,6
England,Paraguay,1986,3,0,3
Morocco,West Germany,1986,0,1,1
Italy,France,1986,0,2,2
West Germany,Mexico,1986,0,0,0
Brazil,Sweden,1990,2,1,3
Italy,United States,1990,1,0,1
Austria,Czechoslovakia,1990,0,1,1
Italy,Czechoslovakia,1990,2,0,2
Austria,United States,1990,2,1,3
Argentina,Cameroon,1990,0,1,1
Soviet Union,Romania,1990,0,2,2
Argentina,Soviet Union,1990,2,0,2
Cameroon,Romania,1990,2,1,3
Argentina,Romania,1990,1,1,2
Italy,Austria,1990,1,0,1
United States,Czechoslovakia,1990,1,5,6
Brazil,Costa Rica,1990,1,0,1
Sweden,Scotland,1990,1,2,3
Brazil,Scotland,1990,1,0,1
Sweden,Costa Rica,1990,1,2,3
United Arab Emirates,Colombia,1990,0,2,2
West Germany,Yugoslavia,1990,4,1,5
Yugoslavia,Colombia,1990,1,0,1
West Germany,United Arab Emirates,1990,5,1,6
West Germany,Colombia,1990,1,1,2
Yugoslavia,United Arab Emirates,1990,4,1,5
Costa Rica,Scotland,1990,1,0,1
Uruguay,Spain,1990,0,0,0
Belgium,South Korea,1990,2,0,2
Cameroon,Soviet Union,1990,0,4,4
Belgium,Uruguay,1990,3,1,4
Belgium,Spain,1990,1,2,3
South Korea,Uruguay,1990,0,1,1
England,Republic of Ireland,1990,1,1,2
Netherlands,Egypt,1990,1,1,2
England,Netherlands,1990,0,0,0
Republic of Ireland,Egypt,1990,0,0,0
England,Egypt,1990,1,0,1
Republic of Ireland,Netherlands,1990,1,1,2
Cameroon,Colombia,1990,2,1,3
West Germany,Netherlands,1990,2,1,3
South Korea,Spain,1990,1,3,4
Italy,Uruguay,1990,2,0,2
Brazil,Argentina,1990,0,1,1
Czechoslovakia,Costa Rica,1990,4,1,5
England,Belgium,1990,1,0,1
Argentina,Yugoslavia,1990,0,0,0
Republic of Ireland,Italy,1990,0,1,1
Czechoslovakia,West Germany,1990,0,1,1
Cameroon,England,1990,2,3,5
Argentina,Italy,1990,1,1,2
West Germany,England,1990,1,1,2
Italy,England,1990,2,1,3
West Germany,Argentina,1990,1,0,1
Republic of Ireland,Romania,1990,0,0,0
Spain,Yugoslavia,1990,1,2,3
Russia,Cameroon,1994,6,1,7
Sweden,Russia,1994,3,1,4
Brazil,Cameroon,1994,3,0,3
Brazil,Russia,1994,2,0,2
Colombia,Romania,1994,1,3,4
Switzerland,Colombia,1994,0,2,2
United States,Colombia,1994,2,1,3
Romania,Switzerland,1994,1,4,5
Brazil,Sweden,1994,1,1,2
United States,Romania,1994,0,1,1
Cameroon,Sweden,1994,2,2,4
Nigeria,Bulgaria,1994,3,0,3
Greece,Nigeria,1994,0,2,2
Germany,Bolivia,1994,1,0,1
Argentina,Bulgaria,1994,0,2,2
Bulgaria,Greece,1994,4,0,4
Argentina,Nigeria,1994,2,1,3
Germany,South Korea,1994,3,2,5
Bolivia,Spain,1994,1,3,4
South Korea,Bolivia,1994,0,0,0
Germany,Spain,1994,1,1,2
Argentina,Greece,1994,4,0,4
Norway,Mexico,1994,1,0,1
Spain,South Korea,1994,2,2,4
Italy,Republic of Ireland,1994,0,1,1
United States,Switzerland,1994,1,1,2
Italy,Norway,1994,1,0,1
Italy,Mexico,1994,1,1,2
Spain,Switzerland,1994,3,0,3
Germany,Belgium,1994,3,2,5
Morocco,Netherlands,1994,1,2,3
Belgium,Saudi Arabia,1994,0,1,1
Republic of Ireland,Norway,1994,0,0,0
Belgium,Netherlands,1994,1,0,1
Belgium,Morocco,1994,1,0,1
Saudi Arabia,Sweden,1994,1,3,4
Saudi Arabia,Morocco,1994,2,1,3
Romania,Argentina,1994,3,2,5
Netherlands,Brazil,1994,2,3,5
Netherlands,Saudi Arabia,1994,2,1,3
Nigeria,Italy,1994,1,2,3
Netherlands,Republic of Ireland,1994,2,0,2
Brazil,United States,1994,1,0,1
Mexico,Republic of Ireland,1994,2,1,3
Brazil,Italy,1994,0,0,0
Sweden,Brazil,1994,0,1,1
Sweden,Bulgaria,1994,4,0,4
Romania,Sweden,1994,2,2,4
Bulgaria,Germany,1994,2,1,3
Italy,Spain,1994,2,1,3
Mexico,Bulgaria,1994,1,1,2
Bulgaria,Italy,1994,1,2,3
South Africa,Denmark,1998,1,1,2
Italy,Austria,1998,2,1,3
France,South Africa,1998,3,0,3
Saudi Arabia,Denmark,1998,0,1,1
Chile,Cameroon,1998,1,1,2
Italy,Cameroon,1998,3,0,3
Brazil,Morocco,1998,3,0,3
Italy,Chile,1998,2,2,4
Brazil,Norway,1998,1,2,3
Scotland,Morocco,1998,0,3,3
Scotland,Norway,1998,1,1,2
France,Saudi Arabia,1998,4,0,4
Cameroon,Austria,1998,1,1,2
Brazil,Scotland,1998,2,1,3
Spain,Nigeria,1998,2,3,5
France,Denmark,1998,2,1,3
Belgium,South Korea,1998,1,1,2
Netherlands,Mexico,1998,2,2,4
Netherlands,South Korea,1998,5,0,5
Belgium,Mexico,1998,2,2,4
Netherlands,Belgium,1998,0,0,0
South Korea,Mexico,1998,1,3,4
Germany,United States,1998,2,0,2
Nigeria,Paraguay,1998,1,3,4
Spain,Paraguay,1998,0,0,0
Nigeria,Bulgaria,1998,1,0,1
Spain,Bulgaria,1998,6,1,7
Paraguay,Bulgaria,1998,0,0,0
Morocco,Norway,1998,2,2,4
South Africa,Saudi Arabia,1998,2,2,4
FR Yugoslavia,Iran,1998,1,0,1
Chile,Austria,1998,1,1,2
Germany,FR Yugoslavia,1998,2,2,4
Argentina,Japan,1998,1,0,1
Argentina,Jamaica,1998,5,0,5
Japan,Croatia,1998,0,1,1
Jamaica,Croatia,1998,1,3,4
Romania,Tunisia,1998,1,1,2
United States,FR Yugoslavia,1998,0,1,1
Colombia,Tunisia,1998,1,0,1
Romania,Colombia,1998,1,0,1
England,Tunisia,1998,2,0,2
Germany,Iran,1998,2,0,2
Japan,Jamaica,1998,1,2,3
Romania,England,1998,2,1,3
Italy,Norway,1998,1,0,1
France,Croatia,1998,2,1,3
France,Paraguay,1998,1,0,1
Argentina,Croatia,1998,1,0,1
Germany,Mexico,1998,2,1,3
Nigeria,Denmark,1998,1,4,5
Brazil,Chile,1998,4,1,5
United States,Iran,1998,1,2,3
Brazil,France,1998,0,3,3
Netherlands,Croatia,1998,1,2,3
Brazil,Netherlands,1998,1,1,2
Germany,Croatia,1998,0,3,3
Colombia,England,1998,0,2,2
Brazil,Denmark,1998,3,2,5
Italy,France,1998,0,0,0
Argentina,England,1998,2,2,4
Romania,Croatia,1998,0,1,1
Netherlands,Argentina,1998,2,1,3
Netherlands,FR Yugoslavia,1998,2,1,3
Portugal,Poland,2002,4,0,4
South Africa,Spain,2002,2,3,5
South Africa,Slovenia,2002,1,0,1
Spain,Paraguay,2002,3,1,4
Paraguay,South Africa,2002,2,2,4
Senegal,Uruguay,2002,3,3,6
France,Uruguay,2002,0,0,0
Slovenia,Paraguay,2002,1,3,4
Denmark,Senegal,2002,1,1,2
Uruguay,Denmark,2002,1,2,3
France,Senegal,2002,0,1,1
Argentina,Nigeria,2002,1,0,1
Saudi Arabia,Republic of Ireland,2002,0,3,3
Denmark,France,2002,2,0,2
Brazil,Turkey,2002,2,1,3
Cameroon,Germany,2002,0,2,2
Spain,Slovenia,2002,3,1,4
Costa Rica,Turkey,2002,1,1,2
Brazil,China,2002,4,0,4
Cameroon,Saudi Arabia,2002,1,0,1
Germany,Republic of Ireland,2002,1,1,2
Poland,United States,2002,3,1,4
Portugal,South Korea,2002,0,1,1
Republic of Ireland,Cameroon,2002,1,1,2
South Korea,United States,2002,1,1,2
United States,Portugal,2002,3,2,5
South Korea,Poland,2002,2,0,2
Turkey,China,2002,3,0,3
Costa Rica,Brazil,2002,2,5,7
England,Sweden,2002,1,1,2
China,Costa Rica,2002,0,2,2
Germany,Saudi Arabia,2002,8,0,8
Japan,Turkey,2002,0,1,1
Sweden,Nigeria,2002,2,1,3
Belgium,Russia,2002,3,2,5
Germany,Brazil,2002,0,2,2
Japan,Russia,2002,1,0,1
Russia,Tunisia,2002,2,0,2
Japan,Belgium,2002,2,2,4
Ecuador,Croatia,2002,1,0,1
Mexico,Italy,2002,1,1,2
Italy,Croatia,2002,1,2,3
Italy,Ecuador,2002,2,0,2
Croatia,Mexico,2002,0,1,1
Nigeria,England,2002,0,0,0
Sweden,Argentina,2002,1,1,2
Argentina,England,2002,0,1,1
Mexico,Ecuador,2002,2,1,3
Tunisia,Belgium,2002,1,1,2
Sweden,Senegal,2002,1,2,3
South Korea,Turkey,2002,2,3,5
Tunisia,Japan,2002,0,2,2
Brazil,Turkey,2002,1,0,1
Germany,South Korea,2002,1,0,1
Senegal,Turkey,2002,0,1,1
Germany,United States,2002,1,0,1
England,Brazil,2002,1,2,3
Spain,South Korea,2002,0,0,0
Brazil,Belgium,2002,2,0,2
Mexico,United States,2002,0,2,2
Spain,Republic of Ireland,2002,1,1,2
Denmark,England,2002,0,3,3
Germany,Paraguay,2002,1,0,1
South Korea,Italy,2002,2,1,3
Paraguay,Trinidad and Tobago,2006,2,0,2
Trinidad and Tobago,Sweden,2006,0,0,0
Sweden,England,2006,2,2,4
Sweden,Paraguay,2006,1,0,1
England,Trinidad and Tobago,2006,2,0,2
England,Paraguay,2006,1,0,1
Germany,Costa Rica,2006,4,2,6
Portugal,Mexico,2006,2,1,3
Ecuador,Germany,2006,0,3,3
Ecuador,Costa Rica,2006,3,0,3
Germany,Poland,2006,1,0,1
Poland,Ecuador,2006,0,2,2
Argentina,Ivory Coast,2006,2,1,3
Costa Rica,Poland,2006,1,2,3
Serbia and Montenegro,Netherlands,2006,0,1,1
Netherlands,Argentina,2006,0,0,0
Netherlands,Ivory Coast,2006,2,1,3
Ghana,United States,2006,2,1,3
Czech Republic,Italy,2006,0,2,2
Italy,United States,2006,1,1,2
Czech Republic,Ghana,2006,0,2,2
Argentina,Serbia and Montenegro,2006,6,0,6
Iran,Angola,2006,1,1,2
Italy,Ghana,2006,2,0,2
Portugal,Iran,2006,2,0,2
Mexico,Angola,2006,0,0,0
Angola,Portugal,2006,0,1,1
Mexico,Iran,2006,3,1,4
Ivory Coast,Serbia and Montenegro,2006,3,2,5
Australia,Japan,2006,3,1,4
Brazil,Croatia,2006,1,0,1
United States,Czech Republic,2006,0,3,3
Italy,Ukraine,2006,3,0,3
Germany,Sweden,2006,2,0,2
Spain,Tunisia,2006,3,1,4
Switzerland,South Korea,2006,2,0,2
Saudi Arabia,Ukraine,2006,0,4,4
Tunisia,Saudi Arabia,2006,2,2,4
Spain,Ukraine,2006,4,0,4
Togo,France,2006,0,2,2
Japan,Brazil,2006,1,4,5
Italy,France,2006,1,1,2
France,South Korea,2006,1,1,2
France,Switzerland,2006,0,0,0
South Korea,Togo,2006,2,1,3
Croatia,Australia,2006,2,2,4
Saudi Arabia,Spain,2006,0,1,1
Togo,Switzerland,2006,0,2,2
Japan,Croatia,2006,0,0,0
Germany,Portugal,2006,3,1,4
Brazil,Australia,2006,2,0,2
Portugal,France,2006,0,1,1
Germany,Italy,2006,0,2,2
Brazil,France,2006,0,1,1
Ukraine,Tunisia,2006,1,0,1
Germany,Argentina,2006,1,1,2
England,Portugal,2006,0,0,0
Brazil,Ghana,2006,3,0,3
Switzerland,Ukraine,2006,0,0,0
Italy,Australia,2006,1,0,1
Portugal,Netherlands,2006,1,0,1
England,Ecuador,2006,1,0,1
Argentina,Mexico,2006,2,1,3
Spain,France,2006,1,3,4
Slovenia,United States,2010,2,2,4
Algeria,Slovenia,2010,0,1,1
England,United States,2010,1,1,2
Greece,Argentina,2010,0,2,2
Nigeria,South Korea,2010,2,2,4
South Africa,Uruguay,2010,0,3,3
Argentina,Nigeria,2010,1,0,1
South Korea,Greece,2010,2,0,2
France,South Africa,2010,1,2,3
Mexico,Uruguay,2010,0,1,1
France,Mexico,2010,0,2,2
England,Algeria,2010,0,0,0
Greece,Nigeria,2010,2,1,3
Argentina,South Korea,2010,4,1,5
Netherlands,Denmark,2010,2,0,2
Slovenia,England,2010,0,1,1
Cameroon,Netherlands,2010,1,2,3
Denmark,Japan,2010,1,3,4
Cameroon,Denmark,2010,1,2,3
Netherlands,Japan,2010,1,0,1
Japan,Cameroon,2010,1,0,1
